
2025/02/18 (20:43:55) | ===> btop++ v.1.4.0
2025/02/18 (20:43:55) | WARNING: Failed to join _runner thread on exit!

2025/03/02 (19:16:41) | ===> btop++ v.1.4.0
2025/03/02 (19:16:41) | WARNING: Failed to join _runner thread on exit!

2025/03/02 (21:28:45) | ===> btop++ v.1.4.0
2025/03/02 (21:28:45) | WARNING: Failed to join _runner thread on exit!

2025/03/16 (21:01:26) | ===> btop++ v.1.4.0
2025/03/16 (21:01:26) | WARNING: Failed to join _runner thread on exit!

2025/04/07 (11:44:46) | ===> btop++ v.1.4.0
2025/04/07 (11:44:46) | WARNING: Failed to join _runner thread on exit!
